,name,location,lat,lon
0,가락시장역점,서울특별시 서울 송파구 송파대로 28길 27 102동 109호,37.4948868947464,127.120093192726
1,가산대성디폴리스점,서울특별시 금천구 서부샛길 606 대성디폴리스,37.4799534974765,126.877008239669
2,가산디지털단지역점,서울특별시 금천구 벚꽃로 298 1층 112호,37.4814401689835,126.883871693415
3,가산아스크타워점,서울특별시 금천구 가산동 60-9 145호,37.476704282032,126.889793917736
4,가산한화비즈2차점,"서울특별시 금천구 가산디지털2로 43-14, 가산한화비즈메트로2차 134호 ",37.4724347051782,126.881544629092
5,강남국기원점,서울특별시 강남구 강남대로94길 55 1층,37.5005339869309,127.031660682357
6,강남서초점,"서울특별시 서초구 서초대로74길 23, 서초타운트라팰리스 1F",37.4956119342423,127.027090955824
7,강남역센트럴애비뉴점,서울특별시 강남구 테헤란로4길 6 126호,37.4976674173806,127.029286360295
8,강남지인병원점,서울특별시 강남구 언주로 631 강남지인병원 2층 201호,37.5127908498374,127.035028360898
9,강남포스코센터점,서울특별시  강남구 삼성로 85길 30,37.5047859325292,127.054781958332
10,강북구청점,서울특별시 강북구 한천로 1040,37.6403462635848,127.026687837786
11,개봉현대점,서울특별시 구로구 개봉로 20길 158,37.4920422788882,126.86073736772
12,경희대점,서울특별시 동대문구 경희대로 15,37.5929303558378,127.052387487722
13,고덕역점,"서울특별시 강동구 고덕로 262, 118호",37.5546676606413,127.154622234195
14,고척근린공원점,서울특별시 구로구 고척동 260-18,37.503358642999,126.850777372257
15,공덕점,서울특별시 마포구 백범로31길 7 공덕SK리더스뷰 1동 B110호,37.5452627685789,126.94870244291
16,구로아티스포럼점,서울특별시  구로구 구로동 197-45,37.4861933789197,126.892769970304
17,구로하이엔드2차점,서울특별시 구로구 디지털로26길 61 ,37.4811291019439,126.895303784633
18,군자교점,서울특별시 광진구 천호대로 512 군자빌딩,37.5584318575875,127.075308664069
19,길동사거리점,서울특별시 서울특별시 강동구 양재대로103길 13,37.5328424801054,127.13713383195
20,길음역점,"서울특별시 성북구 길음로 11 지하1층 B53, 54",37.603785604914,127.023437392228
21,길음역점,"서울특별시  성북구 길음로 11 지하1층 B53, 54",37.603785604914,127.023437392228
22,도봉구청점,서울특별시 도봉구 도봉로152길 26 1층 109호,37.6692305048563,127.045274099296
23,마곡나루점,서울특별시 강서구 마곡중앙5로 6  1층 132호,37.567290908492,126.826956189701
24,마곡르웨스트점,서울특별시 강서구 마곡중앙로 111 롯데캐슬르웨스트오피스텔 상가 101동 127호,37.5638094509858,126.825417557789
25,마곡서울식물원점,서울특별시 강서구 마곡중앙8로1길 81 BT 101호,37.5685092627898,126.837632450912
26,마곡역점,서울특별시 강서구 마곡중앙1로 20 마곡M시그니처 115호,37.5585628338148,126.824728888737
27,마곡파인스퀘어점,"서울특별시 강서구 마곡동 791-5번지, 파인스퀘어 3차 1층 ",37.5618873054359,126.837107053142
28,마포구청점,서울특별시 마포구 월드컵로 196 101호,37.5647995635391,126.902750212857
29,마포성산점,서울특별시 마포구 월드컵북로 236,37.5703001567881,126.903428235454
30,명일역점,서울특별시 강동구 명일동 312-92,37.5509262341722,127.14373932466
31,목동7단지점,서울특별시 양천구 목동서로 213 세신비젼프라자 1층 102호,37.5280169945095,126.870615708032
32,목동파라곤점,서울특별시 양천구 목동서로 155 101동 107호,37.5299956155624,126.875071951863
33,문래GS점,서울특별시 영등포구 선유로 71 문래임광그대가 122호,37.5202343613363,126.888886051076
34,문래에이스하이테크시티점,서울특별시 영등포구 경인로 775 에이스하이테크시티 지하1층 141호,37.5147464245043,126.897536835727
35,문정H비즈니스파크점,서울특별시 송파구 문정동 645-2 H비지니스파크 C동 101동,37.4843577133898,127.116869899292
36,문정르피에드점,서울특별시 송파구 송파대로 141 르피에드 113호,37.4827982488674,127.123339910507
37,방산시장점,서울특별시 중구 을지로33길 6 1층 101호,37.567202207857,127.000359834637
38,방이역점,서울특별시  송파구 방이동 206-11,37.5093536334491,127.125789758695
39,방화역점,서울특별시 강서구 금낭화로 146,37.5781901549032,126.813305186149
40,사당역점,서울특별시 관악구 남현동 1061-3,37.4756040268203,126.981104572672
41,삼성역점,"서울특별시 강남구 테헤란로107길 6, 두양빌딩 1층",37.5102348304012,127.065605003356
42,상봉점,서울특별시 중랑구 망우로 353 홈플러스상봉점 1F,37.5983328190955,127.091624142481
43,상암DMC점,서울특별시 마포구 월드컵북로 396 누리꿈스퀘어동 1층,37.5794419093126,126.890322604776
44,서여의도점,서울특별시 영등포구 은행로 29,37.5290821496185,126.921888669221
45,서울교대역점,서울특별시 서초구 서초대로 49길 7,37.4939463115636,127.011952834242
46,서울남부법원점,"서울특별시 양천구 신정동 1009-6, 남부빌딩 104호",37.5228139854996,126.864199704592
47,서울대입구역점,서울특별시 관악구 봉천로 471,37.4824282109319,126.952394882693
48,서울돈암점,서울특별시 성북구 동소문로 186,37.598598966843,127.022009750457
49,서울문정역점,서울특별시 송파구 법원로 114 E동 B171호,37.4860552797801,127.12100938212
50,서울시청역점,서울특별시 중구 세종대로 74-1 태평빌딩 1층,37.5627910167908,126.976915009507
51,서울안국점,서울특별시 종로구 율곡로 59,37.5768760531506,126.985746373146
52,서울중앙대점,"서울특별시 서울특별시 동작구 흑석로 101, 1층",37.5077478063551,126.960583855519
53,서울하월곡점,서울특별시 성북구 오패산로 59 1층,37.607464714889,127.036236715903
54,서초메이플라워점,서울특별시 서초구 서초동 1688-6,37.4960430160841,127.020126854849
55,서초역점,서울특별시 서초구 서초대로 240 ,37.4915770626912,127.00834349369
56,서초잠원점,서울특별시 서초구 강남대로95길 47-4,37.5128264373232,127.017670335912
57,선릉역점,서울특별시 강남구 삼성동 140-32,37.5062814951678,127.049725712525
58,송파명준점,서울특별시 송파구 마천로 240,37.4995299516986,127.144036671537
59,송파문정로점,서울특별시 송파구 문정로 145,37.4926155553875,127.135730675094
60,수유역점,서울특별시 강북구 오패산로 410 ,37.6373403880686,127.026731288509
61,숙명여대점,서울특별시 용산구 청파로47길 35 1층 ,37.5446482844637,126.968478411808
62,신논현역점,서울특별시 강남구 강남대로110길 15,37.5039900570348,127.026171009331
63,신림역점,서울특별시 관악구 남부순환로181길 7,37.4849246576397,126.930911157128
64,신방화역점,서울특별시 강서구 방화동 247-194 힐스테이트상가 109호 ,37.567202329354,126.815812288046
65,신방화역점,서울특별시 강서구 초원로16길 3-11 힐스에비뉴동 지1층 109호,37.5672373491884,126.815909319732
66,신사역점,서울특별시 강남구 도산대로 128,37.5169719062298,127.02270573272
67,신촌역점,서울특별시  서대문구 신촌로 87-22,37.5565122138013,126.93636432114
68,신풍역점,서울특별시 영등포구 신풍로 28 비스타동원 1층 136호,37.4998139228913,126.90960294998
69,쌍문선덕점,서울특별시 도봉구 시루봉로 64,37.6564817347697,127.028110647016
70,아차산역점,서울특별시 광진구 천호대로 643 ,37.5537590579311,127.089214234459
71,양재서초구청점,"서울특별시 서초구 서운로 6길 30, 1층",37.4855058934036,127.031037893963
72,양천구신정중앙점,서울특별시 양천구 은행정로 16 103호,37.5210758406008,126.859937727936
73,양천향교점,"서울특별시 강서구 강서로 471, A동 107호",37.5674482048077,126.840573315951
74,양평역점,서울특별시 영등포구 영등포로11길 19 영등포자이 디그니티 아파트상가 103호,37.5253673074738,126.886732629553
75,여의도역점,서울특별시 영등포구 여의나루로 42 1층 108호,37.521470230225,126.924971147893
