,최저기온 (℃),최고기온 (℃)
평년(오늘),13.7 ~ 17.6,22.3 ~ 28.4
어제(04일),16.8 ~ 22.5,20.8 ~ 31.7
오늘(05일),14.4 ~ 21.0,22.0 ~ 29.5
내일(06일),11 ~ 18,23 ~ 30
모레(07일),12 ~ 20,21 ~ 29
글피(08일),14 ~ 19,20 ~ 27
그글피(09일),12 ~ 18,23 ~ 29
