매장명,주소,이벤트,위도,경도,매장ID
서초메이플라워점,서울특별시 서초구 서초동 1688-6,텐데이 진행,37.4960430160841,127.020126854849,829
서초역점,서울특별시 서초구 서초대로 240,텐데이 진행,37.4915770626912,127.00834349369,840
서초잠원점,서울특별시 서초구 강남대로95길 47-4,텐데이 진행,37.5128264373232,127.017670335912,1173
선릉역점,서울특별시 강남구 삼성동 140-32,텐데이 진행,37.5062814951678,127.049725712525,642
송파명준점,서울특별시 송파구 마천로 240,텐데이 진행,37.4995299516986,127.144036671537,690
송파문정로점,서울특별시 송파구 문정로 145,텐데이 진행,37.4926155553875,127.135730675094,1052
수유역점,서울특별시 강북구 오패산로 410,텐데이 진행,37.6373403880686,127.026731288509,957
숙명여대점,서울특별시 용산구 청파로47길 35 1층,텐데이 진행,37.5446482844637,126.968478411808,1129
신논현역점,서울특별시 강남구 강남대로110길 15,텐데이 진행,37.5039900570348,127.026171009331,1097
신림역점,서울특별시 관악구 남부순환로181길 7,텐데이 진행,37.4849246576397,126.930911157128,834
신방화역점,서울특별시 강서구 방화동 247-194 힐스테이트상가 109호,텐데이 진행,37.567202329354,126.815812288046,453
신방화역점,서울특별시 강서구 초원로16길 3-11 힐스에비뉴동 지1층 109호,텐데이 진행,37.5672373491884,126.815909319732,976
신사역점,서울특별시 강남구 도산대로 128,텐데이 진행,37.5169719062298,127.02270573272,731
신촌역점,서울특별시  서대문구 신촌로 87-22,텐데이 진행,37.5565122138013,126.93636432114,932
신풍역점,서울특별시 영등포구 신풍로 28 비스타동원 1층 136호,텐데이 진행,37.4998139228913,126.90960294998,1157
쌍문선덕점,서울특별시 도봉구 시루봉로 64,텐데이 진행,37.6564817347697,127.028110647016,1103
아차산역점,서울특별시 광진구 천호대로 643,텐데이 진행,37.5537590579311,127.089214234459,1094
양재서초구청점,"서울특별시 서초구 서운로 6길 30, 1층",텐데이 진행,37.4855058934036,127.031037893963,760
양천구신정중앙점,서울특별시 양천구 은행정로 16 103호,텐데이 진행,37.5210758406008,126.859937727936,1040
