"출입국항별","시점","내외국인별","항목","성별",데이터
"인천공항","2018","내국인","출국자","남자",122582
"인천공항","2018","내국인","출국자","여자",127123
"인천공항","2018","외국인","입국자","남자",229397
"인천공항","2018","외국인","입국자","여자",189754
"인천공항","2018","외국인","출국자","남자",160929
"인천공항","2018","외국인","출국자","여자",130711
"인천공항","2019","내국인","입국자","남자",130763
"인천공항","2019","내국인","입국자","여자",126055
"인천공항","2019","내국인","출국자","남자",119872
"인천공항","2019","내국인","출국자","여자",126747
"인천공항","2019","외국인","입국자","남자",189463
"인천공항","2019","외국인","입국자","여자",163755
"인천공항","2019","외국인","출국자","남자",186041
"인천공항","2019","외국인","출국자","여자",155902
"인천공항","2020","내국인","입국자","남자",215308
"인천공항","2020","내국인","입국자","여자",192236
"인천공항","2020","내국인","출국자","남자",103601
"인천공항","2020","내국인","출국자","여자",80683
"인천공항","2020","외국인","입국자","남자",107974
"인천공항","2020","외국인","입국자","여자",111761
"인천공항","2020","외국인","출국자","남자",177105
"인천공항","2020","외국인","출국자","여자",140424
"인천공항","2021","내국인","입국자","남자",108753
"인천공항","2021","내국인","입국자","여자",79094
"인천공항","2021","내국인","출국자","남자",112505
"인천공항","2021","내국인","출국자","여자",98314
"인천공항","2021","외국인","입국자","남자",106143
"인천공항","2021","외국인","입국자","여자",111261
"인천공항","2021","외국인","출국자","남자",138749
"인천공항","2021","외국인","출국자","여자",112458
"인천공항","2022","내국인","입국자","남자",98654
"인천공항","2022","내국인","입국자","여자",86959
"인천공항","2022","내국인","출국자","남자",133287
"인천공항","2022","내국인","출국자","여자",130722
"인천공항","2022","외국인","입국자","남자",220602
"인천공항","2022","외국인","입국자","여자",172332
"인천공항","2022","외국인","출국자","남자",124034
"인천공항","2022","외국인","출국자","여자",106797
"인천공항","2023","내국인","입국자","남자",97746
"인천공항","2023","내국인","입국자","여자",95233
"인천공항","2023","내국인","출국자","남자",113276
"인천공항","2023","내국인","출국자","여자",118599
"인천공항","2023","외국인","입국자","남자",238300
"인천공항","2023","외국인","입국자","여자",181388
"인천공항","2023","외국인","출국자","남자",148900
"인천공항","2023","외국인","출국자","여자",130769
"인천공항","2024","내국인","입국자","남자",118636
"인천공항","2024","내국인","입국자","여자",117094
"인천공항","2024","내국인","출국자","남자",107361
"인천공항","2024","내국인","출국자","여자",112053
"인천공항","2024","외국인","입국자","남자",213978
"인천공항","2024","외국인","입국자","여자",169391
"인천공항","2024","외국인","출국자","남자",161611
"인천공항","2024","외국인","출국자","여자",136567
